2026-08-25 06:01:13 | INFO     | src.pipeline | === Pipeline run #1 finished: status=SUCCESS processed=5 failed=0 inserted=450 updated=0 rejected=0 ===
2026-08-25 06:01:13 | INFO     | src.db_manager | MySQL connection closed.
2026-08-25 06:01:22 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-25 06:01:22 | INFO     | src.pipeline | === Pipeline run #2 started for 5 ticker(s) ===
2026-08-25 06:01:22 | INFO     | src.pipeline | [AAPL] Registering company metadata...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AAPL] Extracting last 90 days of price history...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AAPL] Extracted 90 raw rows from source='simulated'
2026-08-25 06:01:22 | INFO     | src.pipeline | [AAPL] Transforming (validate -> clean -> enrich)...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AAPL] Loading 90 curated rows into stock_prices...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AAPL] Done. inserted=0 updated=0 rejected=0
2026-08-25 06:01:22 | INFO     | src.pipeline | [MSFT] Registering company metadata...
2026-08-25 06:01:22 | INFO     | src.pipeline | [MSFT] Extracting last 90 days of price history...
2026-08-25 06:01:22 | INFO     | src.pipeline | [MSFT] Extracted 90 raw rows from source='simulated'
2026-08-25 06:01:22 | INFO     | src.pipeline | [MSFT] Transforming (validate -> clean -> enrich)...
2026-08-25 06:01:22 | INFO     | src.pipeline | [MSFT] Loading 90 curated rows into stock_prices...
2026-08-25 06:01:22 | INFO     | src.pipeline | [MSFT] Done. inserted=0 updated=0 rejected=0
2026-08-25 06:01:22 | INFO     | src.pipeline | [GOOGL] Registering company metadata...
2026-08-25 06:01:22 | INFO     | src.pipeline | [GOOGL] Extracting last 90 days of price history...
2026-08-25 06:01:22 | INFO     | src.pipeline | [GOOGL] Extracted 90 raw rows from source='simulated'
2026-08-25 06:01:22 | INFO     | src.pipeline | [GOOGL] Transforming (validate -> clean -> enrich)...
2026-08-25 06:01:22 | INFO     | src.pipeline | [GOOGL] Loading 90 curated rows into stock_prices...
2026-08-25 06:01:22 | INFO     | src.pipeline | [GOOGL] Done. inserted=0 updated=0 rejected=0
2026-08-25 06:01:22 | INFO     | src.pipeline | [AMZN] Registering company metadata...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AMZN] Extracting last 90 days of price history...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AMZN] Extracted 90 raw rows from source='simulated'
2026-08-25 06:01:22 | INFO     | src.pipeline | [AMZN] Transforming (validate -> clean -> enrich)...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AMZN] Loading 90 curated rows into stock_prices...
2026-08-25 06:01:22 | INFO     | src.pipeline | [AMZN] Done. inserted=0 updated=0 rejected=0
2026-08-25 06:01:22 | INFO     | src.pipeline | [TSLA] Registering company metadata...
2026-08-25 06:01:22 | INFO     | src.pipeline | [TSLA] Extracting last 90 days of price history...
2026-08-25 06:01:22 | INFO     | src.pipeline | [TSLA] Extracted 90 raw rows from source='simulated'
2026-08-25 06:01:22 | INFO     | src.pipeline | [TSLA] Transforming (validate -> clean -> enrich)...
2026-08-25 06:01:22 | INFO     | src.pipeline | [TSLA] Loading 90 curated rows into stock_prices...
2026-08-25 06:01:23 | INFO     | src.pipeline | [TSLA] Done. inserted=0 updated=0 rejected=0
2026-08-25 06:01:23 | INFO     | src.pipeline | === Pipeline run #2 finished: status=SUCCESS processed=5 failed=0 inserted=0 updated=0 rejected=0 ===
2026-08-25 06:01:23 | INFO     | src.db_manager | MySQL connection closed.
2026-08-25 06:01:51 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-25 06:01:51 | INFO     | src.db_manager | MySQL connection closed.
2026-08-25 06:02:10 | WARNING  | src.transformer | Data quality: 3 row(s) failed validation and were excluded.
2026-08-25 06:02:15 | ERROR    | src.db_manager | Could not connect to MySQL: 1045 (28000): Access denied for user 'pipeline_user'@'localhost' (using password: YES)
